model,search_stage,training_source,training_rows,best_parameters,precision_attack_mean,precision_attack_std,recall_attack_mean,recall_attack_std,f1_attack_mean,f1_attack_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,elapsed_minutes,model_size_mb,model_file
xgboost,search_01_initial,cicids2017,235490,"{""classifier__learning_rate"": 0.3, ""classifier__max_depth"": 6, ""classifier__n_estimators"": 100}",0.9807706616405474,0.0012225696831091252,0.9929509085060712,0.0013669045722722727,0.986822190257849,0.0008259366087684294,0.9946961654422692,0.000332039879439885,0.994041699399629,0.0006687554096504763,0.47664286333310885,0.09351253509521484,cicids2017.joblib
xgboost,search_01_initial,unsw_nb15,235490,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 6, ""classifier__n_estimators"": 200}",0.9429662265092998,0.0014264271866291944,0.998322636474272,0.00035150876635578064,0.9698544517308129,0.0006759321389379731,0.987587583336872,0.0002891340529202834,0.9916132245141694,0.0001776693376013906,0.4604940749995876,0.2090892791748047,unsw_nb15.joblib
xgboost,search_01_initial,iot23,235490,"{""classifier__learning_rate"": 0.3, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",0.9996580829323556,0.00018389654725679204,0.9933967345670955,0.0008765669234307719,0.9965174164456811,0.0004981783746583309,0.9986114060045013,0.00019808745661709874,0.9966559026776236,0.0004514731984356576,0.37309401166664125,0.042697906494140625,iot23.joblib
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,"{""classifier__learning_rate"": 0.3, ""classifier__max_depth"": 6, ""classifier__n_estimators"": 200}",0.9617878604437335,0.0009356741612441101,0.9926536190170616,0.0005692909610632524,0.9769768774558318,0.0006926498929642008,0.9906429147734512,0.00028356084801556513,0.991396929610899,0.0003749075990902992,0.9495729600001748,0.2140827178955078,cicids2017_unsw_nb15.joblib
xgboost,search_01_initial,cicids2017_iot23,470980,"{""classifier__learning_rate"": 0.3, ""classifier__max_depth"": 6, ""classifier__n_estimators"": 100}",0.9887168358769964,0.0007445993411229905,0.9925793011493415,0.0009468267237312712,0.9906441128647284,0.0007315170212860609,0.9962503715656716,0.0002927751953523114,0.9948737203387192,0.0005250164474638125,0.8924891966666716,0.09252643585205078,cicids2017_iot23.joblib
xgboost,search_01_initial,unsw_nb15_iot23,470980,"{""classifier__learning_rate"": 0.3, ""classifier__max_depth"": 6, ""classifier__n_estimators"": 100}",0.9706880813757925,0.0007225913813694922,0.9949148511653503,0.0007724800106693192,0.9826520306518522,0.0006534265647067985,0.9929742239585545,0.0002644596557021484,0.9937019586113154,0.0004413082164214157,0.8587605166666132,0.10503196716308594,unsw_nb15_iot23.joblib
