model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1}",0.9995300170016908,0.00032109175857342377,0.9933967390753071,0.0008556872622067197,0.9964537671057112,0.000497900839435428,0.9985859272155931,0.0001980874566171068,0.9966399811535561,0.0004402733113784379,1.211432695388794,1
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5}",0.9993803644948411,0.00020736597327243472,0.9932481055931353,0.0008075025087498753,0.9963046940255186,0.0004955652090853105,0.9985264767081403,0.00019717502681632082,0.9965470855794644,0.0004254780220099898,1.1878166198730469,2
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1}",0.9988689111944737,0.00019758140782609327,0.9937152149210984,0.0009143357528072758,0.9962851637298018,0.0004550378400508778,0.9985179837785043,0.0001808615180181232,0.996716943510657,0.0004539410129841518,1.2314799785614015,3
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1}",0.9988687451921157,0.00022005432216615545,0.9936515206535825,0.0008918542992922699,0.9962531261689088,0.0004991118813347362,0.9985052443840502,0.00019854209907103852,0.996685096447338,0.00045662662721527274,1.1634104251861572,4
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5}",0.9991243623069632,0.00020723833028262406,0.9933330357913681,0.0008635951833047721,0.996220124999447,0.0004903761532609464,0.9984925049895962,0.00019506024167234313,0.9965577021360887,0.0004441935531505642,1.2587968826293945,5
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5}",0.9991243623069632,0.00020723833028262406,0.9933330357913681,0.0008635951833047721,0.996220124999447,0.0004903761532609464,0.9984925049895962,0.00019506024167234313,0.9965577021360887,0.0004441935531505642,1.1078872203826904,5
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10}",0.9992309239782688,0.00018380278479333424,0.9931631821572198,0.0008535879642944113,0.9961876573597062,0.0004783601826357695,0.998479765595142,0.00019019232813755632,0.9964860457328901,0.0004376991175168608,1.1670433044433595,7
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 10}",0.999081695355493,0.00018574369826220553,0.9932268764247357,0.0009241025815433448,0.9961454451653055,0.0004591984836014105,0.9984627797358698,0.00018244979454704356,0.9964993143153983,0.0004588338922211687,1.1351294994354248,8
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}",0.999081695355493,0.00018574369826220553,0.9932268764247357,0.0009241025815433448,0.9961454451653055,0.0004591984836014105,0.9984627797358698,0.00018244979454704356,0.9964993143153983,0.0004588338922211687,0.8007893085479736,8
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1}",0.997376731503756,0.0003534002617629381,0.9928871533776986,0.0010139678667824695,0.9951265939866765,0.0005443477945603194,0.9980551191133381,0.00021636144554513218,0.9961171296213808,0.0005099999372598461,1.0706793785095214,10
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 5}",0.9971426995189926,0.00027275630008311317,0.9928871511235927,0.0009892195631042583,0.9950101361397513,0.0005398989236816477,0.9980084080003397,0.00021460408116679778,0.9960879340205233,0.000501983873263255,1.0233546257019044,11
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 10}",0.9971212394161192,0.0001914711760637167,0.9928446905326881,0.0009628666808445804,0.9949781699485563,0.0005348491487618317,0.9979956686058855,0.00021257787610146092,0.9960640497972614,0.0004927121048599502,0.9990633487701416,12
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1}",0.9913882856441601,0.0014396505575750417,0.987239324498591,0.0010109052352014968,0.9893086415141447,0.0008605094109723299,0.9957323028578708,0.00034472298174193536,0.9925474293472234,0.0005281884353695326,0.7554938316345214,13
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 10}",0.9913458922228958,0.0013822392932255774,0.987239324498591,0.0010109052352014968,0.9892875529499994,0.0008243966082537597,0.9957238099282346,0.0003301882402869593,0.9925421212098489,0.0005208262343725481,0.8229355335235595,14
decision_tree,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5}",0.9913458922228958,0.0013822392932255774,0.987239324498591,0.0010109052352014968,0.9892875529499994,0.0008243966082537597,0.9957238099282346,0.0003301882402869593,0.9925421212098489,0.0005208262343725481,0.8369560718536377,14
